name,location,bedrooms,bathrooms,property_type,price
Bingin Beach Hideaway: Group Villa with Pool & BBQ,"Jl. Pantai Cemongkak Gg. Samuh Sari No.2, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Beds: 3,Baths: 3,"Amazing pool, Island life, Pool view, Surfing, Tropical, Villa",Starting from USD 161 per night
4-Bedroom Mediterranean Luxury Villa with Ubud Rooftop View,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",Beds: 4,Baths: 4,"Amazing pool, Amazing View, Jungle View, Pool view, Tropical, Villa",USD 202 / Night
Luxurious 3-Bedroom Nusa Dua Seafront Villa w/ Private Beach,,Beds: 3,Baths: 4,"Beachfront, Villa",Starting from USD 715 per 2 nights
Grand Villa Retreat w/ Pool & Garden in Ungasan,"Jl. Pantai Balangan I No.9x, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Beds: 2,Baths: 2,"Amazing pool, Golfing, Pool view, Villa",Starting from USD 84 per night
Uluwatu Modern Boho Villa Near Nyang Nyang Beach,"Jl. Batu Nunggul No.1, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali",Beds: 2,Baths: 2,"Amazing pool, Island life, Pool view, Style, Surfing, Tropical, Villa",Starting from USD $165 per night
Surfer’s Villa 4 Mins to Bingin & Dreamland Beach by Bukit Vista,"Pecatu, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",Beds: 2,Baths: 2.5,"Pool view, Villa",Starting from USD 118 per night
Private Pool Villa Minutes from Bingin Surf Haven by Bukit Vista,"Pecatu, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",Beds: 2,Baths: 2,"Pool view, Villa",Starting from USD 165 per night
Ungasan Exquisite Villa w/ Rooftop & Private Pool by Bukit Vista,"Ungasan, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",Beds: 3,Baths: 3.5,"Amazing pool, Golfing, Surfing, Tropical, Villa",Starting from USD 167 per night
Sun-Soaked Canggu Villa Perfect for Families,"Tibubeneng, Kuta Utara, Badung, Bali, Nusa Tenggara, Indonesia",Beds: 2,Baths: 2,Villa,Starting from USD 100 per night
Sunny Exquisite Umalas Villa: 20 Minutes to Canggu,,Beds: 2,Baths: 2,"Guest House, Villa",Starting from USD 108 per night
Ubud’s Verdant Hideaway w/ Pool & Garden Views,,Bed: 1,Bath: 1,Guest House,Starting from USD 34 per night
Dazzling Villa with Pool and Rooftop in Bingin,,Beds: 2,Baths: 2,Villa,Starting from USD 202 per night
Sun-Soaked 2BR Villa w/ Pool 15-Min Ride to Beach,"Denpasar, Bali, Nusa Tenggara, Indonesia",Beds: 2,Baths: 2,Villa,Starting from USD 91 per night
Voguish Penthouse with Rooftop Pool Near Canggu,"Denpasar, Bali, Nusa Tenggara, Indonesia",Beds: 2,Baths: 2,Villa,Starting from USD 89 per night
Artisanal Berawa Villa: 11 mins Ride to Beach,"Denpasar, Bali, Nusa Tenggara, Indonesia",Beds: 2,Baths: 2,Villa,Starting from USD 73 per night
Ocean-View Eco Dorms at Nusa Lembongan Hilltop,,Bed: 1,Bath: 1,"Guest House, Ocean view",Starting from USD 28 per night
Eco Treehouse Stay with Lembongan Sea Views,,Bed: 1,Bath: 1,"Guest House, Ocean view",Starting from USD 18 per night
Eco-Friendly Lodge w/ Ocean View in Nusa Lembongan,,Bed: 1,Bath: 1,"Guest House, Ocean view",Starting from USD 18 per night
Breathtaking Hillside Private Cabin in Lembongan,,Bed: 1,Bath: 1,"Guest House, Ocean view",Starting from USD 30 per night
Private Ungasan Hideaway Villa with Pool Oasis,,Bed: 1,Bath: 1,Villa,Starting from USD 165 per night
Sunny Tropical Luxe Villa in Ungasan with Pool,,Beds: 2,Baths: 2,Villa,Starting from USD 172 per night
Dreamy Haven w/ Pool | 300m from Bingin Beach,Villa Kaba by Bukit Vista,Beds: 2,Baths: 2,Villa,Starting from USD 430 per 2 nights
Ungasan Haven: 3BR Villa w/ Private Pool Retreat,Amerta Puratangi Villa by Bukit Vista,Beds: 3,Baths: 3.5,Villa,"Starting from USD 2,400 per month"
Retreat to Nature Jungle House Villa near Canggu,,Beds: 2,Baths: 2,"Jungle View, Residential, Villa",Start from $144 USD per night
Villa by Rice Fields in Canggu,"Pura Wates Canggu No.39, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80351",Beds: 2,Baths: 2,"Rice paddy view, Villa","Start from $2,200 USD per Month"
Luxury & Calm Villa with pool near Nusa Dua Beach,"Jalan Dharmawangsa Kampial, Nusa Dua, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Beds: 2,Baths: 2,View,Starting from USD 2000 per Month
Group Getaway: Cozy Villa w/Pool Near GWK Park￼,"Ungasan, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",Beds: 2,Baths: 2.5,"Residential, Villa","Starting from USD 2,200 per month"
Tranquil Kutuh Villa w/ Pool – Ideal for Groups,"Jalan Gubug Sari, Kutuh, Kuta Selatan, Badung, Bali, Nusa Tenggara, 80363, Indonesia",Beds: 3,Baths: 3,Villa,Starting from USD 1750 per Month
Spacious New Tropical Villa w/ GWK View,"Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Beds: 3,Baths: 3,"View, Villa","Start from $3,200 USD per Month"
Clean Room in Jogja Local Authentic Holiday House,"Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Bed: 1,Bath: 1,Guest House,Mulai dari Rp410.500 USD per Malam
3BR Javanese Traditional Relaxing Villa with Pool,"Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta, 55284",Beds: 3,Baths: 2.5,Villa,Mulai dari Rp1.930.000 Rupiah per Malam
Bukit Vista | Heritage Joglo Villa w/ Private Pool,"gupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",Beds: 4,Baths: 3,Villa,Mulai dari Rp1.750.000 Rupiah per Malam
Prestigious Apartment w/ Mt. Merapi View,"Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",Bed: 1,Bath: 1,Guest House,Mulai dari Rp810.000 Rupiah per Malam
Stylish Rustic Cabin in Penida near Seaside Cafe,"Jl. Ped - Buyuk, Ped, Nusapenida, Kabupaten Klungkung, Bali 80771",Bed: 1,Bath: 1,"Guest House, Residential",Start from $24 per night
Beachfront Bungalow w/ Sunset View,"Jl. Ped - Buyuk, Banjar Bodong, Desa Ped, Kec Nusa Penida, Kabupaten Klungkung",Bed: 1,Bath: 1,"Beachfront, Guest House, Residential",Start from USD $41 per night
Once in a Lifetime Hilltop Bungalow Experience,"Suana, Nusapenida, Kabupaten Klungkung, Bali 80771",Bed: 1,Bath: 1,"Guest House, Residential",Start from $19 USD per night
Bright & Sunny Guesthouse with Green Lawn and Pool,"Jl. Pantai Bingin, Pecatu, Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Bed: 1,Bath: 1,Guest House,Start from $920 USD per Month
Summer Vibe Stay in Bingin with Pool + Fast WIFI,"Jl. Bangbang Metuug, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Bed: 1,Bath: 1,Guest House,"Start from $1,090 USD per Month"
Laid-back in Uluwatu Bungalow w/ Pool & Fast Wifi,"Jl. Gn. Tengger, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Bed: 1,Bath: 1,Guest House,Start from $790 USD per Month
Bohemian Beachfront Surf Villa by the Bingin Beach,"Jl. Pantai Bingin, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Beds: 4,Baths: 3,"Beachfront, Residential, Villa","Start from $5,590 USD per Month"
Bukit Vista | Heritage Joglo Villa w/ Private Pool,"Kauman, Yogyakarta",Beds: 4,Baths: 3,"Residential, Style, Villa",Start from $100 USD
Bukit Vista | Stunning 3BR Villa Near Padang Beach,"Pecatu, South Kuta, Badung Regency, Bali 80361, Indonesia",Beds: 3,Baths: 3,Villa,"Start from $4,600 USD per Month"
Quaint & Homey Balinese Villa w/ Private Pool,"Jalan Anggrek, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Beds: 2,Baths: 2,"Villa, Residential","Start from $1,780 USD per Month"
Tranquil 3BR Villa in Jimbaran with Wi-Fi + Pool,"Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Beds: 3,Baths: 3,"Residential, Villa","Start from $2,570 USD per Month"
Peaceful Uluwatu Cabin w/ Unspoiled Beaches Nearby,"Jalan Gunung Tengger, Pecatu, Kabupaten Badung, Bali",Bed: 1,Bath: 1,Guest House,Start from $790 USD per Month
Lovely Private Pool Villa in Strategic Location,"Jl. Pantai Pererenan Gg. Bima, Pererenan, Mengwi, Badung Regency, Bali 80351",Beds: 3,Baths: 3,Villa,
Authentic Balinese Cabin near Beach | sterilized,"South Kuta, Bali, Indonesia",Bed: 1,Bath: 1,Villa,Start from $790 USD per Month
Villa Santorini untuk Digital Nomads oleh Bukit Vista,,Bed: 1,Bath: 1,N/A,N/A
Family Holiday House w/ Private Pool in Jimbaran,"Alang Alang Residence Jimbaran, Jimbaran (Bali), Indonesia, 80361",Beds: 5,Baths: 5,Villa,"Start from $3,350 USD per Month"
4BR Homey Villa in Uluwatu | Kitchen + Wifi + Pool by Bukit Vista,"Jln Labuhan Sait Br. Dinas Kulat, Pecatu Uluwatu Uluwatu, Pecatu, South Kuta, Badung Regency, Bali 80361",Beds: 4,Baths: 4,Villa,"Start from $4,930 USD per Month"
Picturesque Cottage in the Heart of Ubud’s Nature,"Peliatan, Ubud, Gianyar, Bali. 80571",Bed: 1,Bath: 1,"Jungle View, Villa",Start from $890 USD per Month
